product_id,detected_at,detected_at_utc,detection_price,entry_price,target_price,stop_price,outcome,minutes_to_outcome,pnl_pct_after_fees,mfe_pct,mae_pct,rsi,macd_hist,v_over_avg,over_high_pct,usd_per_min,source_file,notes
LINK-USD,1756417801,2025-08-28 21:50:01+00:00,24.923,24.923,25.67069,24.673769999999998,bad-data,,,,,64.10426814521716,0.0005470966714956962,0.3070651384837764,-0.09628886659980296,14219.21803,./data/detections/detections.latest.jsonl,
LINK-USD,1756417815,2025-08-28 21:50:15+00:00,24.923,24.923,25.67069,24.673769999999998,bad-data,,,,,64.10426814521716,0.0005470966714956962,0.3070651384837764,-0.09628886659980296,14219.21803,./data/detections/detections.latest.jsonl,
LINK-USD,1756417826,2025-08-28 21:50:26+00:00,24.923,24.923,25.67069,24.673769999999998,bad-data,,,,,64.10426814521716,0.0005470966714956962,0.3070651384837764,-0.09628886659980296,14219.21803,./data/detections/detections.latest.jsonl,
LINK-USD,1756417841,2025-08-28 21:50:41+00:00,24.923,24.923,25.67069,24.673769999999998,bad-data,,,,,64.10426814521716,0.0005470966714956962,0.3070651384837764,-0.09628886659980296,14219.21803,./data/detections/detections.latest.jsonl,
LINK-USD,1756417853,2025-08-28 21:50:53+00:00,24.923,24.923,25.67069,24.673769999999998,bad-data,,,,,64.10426814521716,0.0005470966714956962,0.3070651384837764,-0.09628886659980296,14219.21803,./data/detections/detections.latest.jsonl,
PROMPT-USD,1756417861,2025-08-28 21:51:01+00:00,0.20396,0.20396,0.2100788,0.2019204,win,22.0,2.95,3.093743871347332,0.019611688566367746,85.70400009955463,0.0002667243348557396,0.7593753994607882,0.04405933323543554,2707.2795360000005,./data/detections/detections.latest.jsonl,
PUMP-USD,1756417945,2025-08-28 21:52:25+00:00,0.003193,0.003193,0.00328879,0.00316107,win,17.0,2.95,3.351080488568736,0.344503601628543,57.75273601261553,6.607782528240317e-07,0.6857591662543873,-1.295097132284917,1032.703419,./data/detections/detections.latest.jsonl,
PUMP-USD,1756417957,2025-08-28 21:52:37+00:00,0.003193,0.003193,0.00328879,0.00316107,win,17.0,2.95,3.351080488568736,0.344503601628543,57.75273601261553,6.607782528240317e-07,0.6857591662543873,-1.295097132284917,1032.703419,./data/detections/detections.latest.jsonl,
PROMPT-USD,1756418100,2025-08-28 21:55:00+00:00,0.20526,0.20526,0.21141780000000002,0.20320739999999998,win,21.0,2.95,3.1764591250121876,-0.4141089350092497,89.52853618918992,0.000226900585058373,0.2341431741154114,0.04377644827082694,931.5658559999999,./data/detections/detections.latest.jsonl,
TREE-USD,1756418102,2025-08-28 21:55:02+00:00,0.4005,0.4005,0.412515,0.39649500000000004,loss,104.0,-1.05,2.996254681647925,-1.7478152309613026,66.97334740989871,0.0004379353315568735,0.8448243986924737,-0.27234463976231194,2048.664968,./data/detections/detections.latest.jsonl,
TREE-USD,1756418119,2025-08-28 21:55:19+00:00,0.4005,0.4005,0.412515,0.39649500000000004,loss,104.0,-1.05,2.996254681647925,-1.7478152309613026,66.97334740989871,0.0004379353315568735,0.8448243986924737,-0.27234463976231194,2048.664968,./data/detections/detections.latest.jsonl,
TREE-USD,1756418160,2025-08-28 21:56:00+00:00,0.402,0.402,0.41406000000000004,0.39798,loss,88.0,-1.05,2.6119402985074425,-1.0199004975124493,73.32848823291354,0.0006265486590329168,0.7723125428934099,0.37137905422133244,1901.484106,./data/detections/detections.latest.jsonl,
PROMPT-USD,1756418161,2025-08-28 21:56:01+00:00,0.20559,0.20559,0.2117577,0.2035341,win,19.0,2.95,3.0108468310715564,-0.5739578773286569,89.55364846489502,0.0001869211458733577,0.05736217031513197,-0.029167274318220304,201.78378,./data/detections/detections.latest.jsonl,
PUMP-USD,1756418162,2025-08-28 21:56:02+00:00,0.003218,0.003218,0.00331454,0.00318582,win,15.0,2.95,5.655686761963952,0.21752641392169814,71.26573126683505,4.39494655120784e-06,0.7554900997583385,-0.6167129201356647,1292.48746,./data/detections/detections.latest.jsonl,
PROMPT-USD,1756418178,2025-08-28 21:56:18+00:00,0.20559,0.20559,0.2117577,0.2035341,win,19.0,2.95,3.0108468310715564,-0.5739578773286569,89.55364846489502,0.0001869211458733577,0.05736217031513197,-0.029167274318220304,201.78378,./data/detections/detections.latest.jsonl,
PENGU-USD,1756418182,2025-08-28 21:56:22+00:00,0.03017,0.03017,0.0310751,0.029868299999999997,bad-data,,,,,65.47590552442652,1.2362665975925314e-05,6.469537420082685,-0.13258203513423217,24049.64548,./data/detections/detections.latest.jsonl,
PROMPT-USD,1756418192,2025-08-28 21:56:32+00:00,0.20559,0.20559,0.2117577,0.2035341,win,19.0,2.95,3.0108468310715564,-0.5739578773286569,89.55364846489502,0.0001869211458733577,0.05736217031513197,-0.029167274318220304,201.78378,./data/detections/detections.latest.jsonl,
PUMP-USD,1756418201,2025-08-28 21:56:41+00:00,0.003218,0.003218,0.00331454,0.00318582,win,15.0,2.95,5.655686761963952,0.21752641392169814,71.26573126683505,4.39494655120784e-06,0.7554900997583385,-0.6167129201356647,1292.48746,./data/detections/detections.latest.jsonl,
PROMPT-USD,1756418203,2025-08-28 21:56:43+00:00,0.20559,0.20559,0.2117577,0.2035341,win,19.0,2.95,3.0108468310715564,-0.5739578773286569,89.55364846489502,0.0001869211458733577,0.05736217031513197,-0.029167274318220304,201.78378,./data/detections/detections.latest.jsonl,
PENGU-USD,1756418219,2025-08-28 21:56:59+00:00,0.03017,0.03017,0.0310751,0.029868299999999997,bad-data,,,,,65.47590552442652,1.2362665975925314e-05,6.469537420082685,-0.13258203513423217,24049.64548,./data/detections/detections.latest.jsonl,
RARI-USD,1756418234,2025-08-28 21:57:14+00:00,0.9856,0.9856,1.015168,0.9757440000000001,bad-data,,,,,79.82410312773646,0.00048142511007140507,3.030889112937348,-0.0101440454453261,1137.9748788,./data/detections/detections.latest.jsonl,
RENDER-USD,1756418244,2025-08-28 21:57:24+00:00,3.64,3.64,3.7492,3.6036,bad-data,,,,,68.10218081882108,0.001447624649267198,2.216564168976627,-0.1098901098901095,8416.72188,./data/detections/detections.latest.jsonl,
RENDER-USD,1756418256,2025-08-28 21:57:36+00:00,3.64,3.64,3.7492,3.6036,bad-data,,,,,68.10218081882108,0.001447624649267198,2.216564168976627,-0.1098901098901095,8416.72188,./data/detections/detections.latest.jsonl,
RENDER-USD,1756418269,2025-08-28 21:57:49+00:00,3.64,3.64,3.7492,3.6036,bad-data,,,,,68.10218081882108,0.001447624649267198,2.216564168976627,-0.1098901098901095,8416.72188,./data/detections/detections.latest.jsonl,
IMX-USD,1756424101,2025-08-28 23:35:01+00:00,0.5596,0.5596,0.576388,0.5540039999999999,bad-data,,,,,64.26987076975999,0.00021614657251994547,0.0967670081188214,-0.3908331852904512,75.997278,./data/detections/detections.latest.jsonl,
IMX-USD,1756424134,2025-08-28 23:35:34+00:00,0.5596,0.5596,0.576388,0.5540039999999999,bad-data,,,,,64.26987076975999,0.00021614657251994547,0.0967670081188214,-0.3908331852904512,75.997278,./data/detections/detections.latest.jsonl,
SOL-USD,1756424220,2025-08-28 23:37:00+00:00,214.82,214.82,221.2646,212.6718,bad-data,,,,,61.28582293223039,0.11379692339101151,1.1050763075379906,-0.19966567607726526,643980.5482303192,./data/detections/detections.latest.jsonl,
XLM-USD,1756424222,2025-08-28 23:37:02+00:00,0.382497,0.382497,0.39397191,0.37867203,bad-data,,,,,57.36542652956893,0.0001257921562807578,0.5012179234503235,-0.3111554708897568,3118.9439667225297,./data/detections/detections.latest.jsonl,
TURBO-USD,1756424224,2025-08-28 23:37:04+00:00,0.004146,0.004146,0.004270380000000001,0.00410454,bad-data,,,,,51.273335357896144,9.971652933577663e-07,0.015744590973711503,-0.04823926676315038,20.666128,./data/detections/detections.latest.jsonl,
TAO-USD,1756424228,2025-08-28 23:37:08+00:00,336.3,336.3,346.389,332.937,bad-data,,,,,57.21868814317336,0.06890120497196939,1.6135145927112233,-0.21063873972764213,3145.672356,./data/detections/detections.latest.jsonl,
XLM-USD,1756424232,2025-08-28 23:37:12+00:00,0.382497,0.382497,0.39397191,0.37867203,bad-data,,,,,57.36542652956893,0.0001257921562807578,0.5012179234503235,-0.3111554708897568,3118.9439667225297,./data/detections/detections.latest.jsonl,
TAO-USD,1756424238,2025-08-28 23:37:18+00:00,336.3,336.3,346.389,332.937,bad-data,,,,,57.21868814317336,0.06890120497196939,1.6135145927112233,-0.21063873972764213,3145.672356,./data/detections/detections.latest.jsonl,
XLM-USD,1756424244,2025-08-28 23:37:24+00:00,0.382497,0.382497,0.39397191,0.37867203,bad-data,,,,,57.36542652956893,0.0001257921562807578,0.5012179234503235,-0.3111554708897568,3118.9439667225297,./data/detections/detections.latest.jsonl,
TAO-USD,1756424257,2025-08-28 23:37:37+00:00,336.3,336.3,346.389,332.937,bad-data,,,,,57.21868814317336,0.06890120497196939,1.6135145927112233,-0.21063873972764213,3145.672356,./data/detections/detections.latest.jsonl,
XLM-USD,1756424258,2025-08-28 23:37:38+00:00,0.382497,0.382497,0.39397191,0.37867203,bad-data,,,,,57.36542652956893,0.0001257921562807578,0.5012179234503235,-0.3111554708897568,3118.9439667225297,./data/detections/detections.latest.jsonl,
TURBO-USD,1756424273,2025-08-28 23:37:53+00:00,0.004146,0.004146,0.004270380000000001,0.00410454,bad-data,,,,,51.273335357896144,9.971652933577663e-07,0.015744590973711503,-0.04823926676315038,20.666128,./data/detections/detections.latest.jsonl,
XLM-USD,1756424275,2025-08-28 23:37:55+00:00,0.382497,0.382497,0.39397191,0.37867203,bad-data,,,,,57.36542652956893,0.0001257921562807578,0.5012179234503235,-0.3111554708897568,3118.9439667225297,./data/detections/detections.latest.jsonl,
ATOM-USD,1756424347,2025-08-28 23:39:07+00:00,4.771,4.771,4.91413,4.7232899999999995,bad-data,,,,,69.64017993096559,0.0037295694863960322,2.935487651992796,0.0836645053336138,17316.4365,./data/detections/detections.latest.jsonl,
ATOM-USD,1756424360,2025-08-28 23:39:20+00:00,4.771,4.771,4.91413,4.7232899999999995,bad-data,,,,,69.64017993096559,0.0037295694863960322,2.935487651992796,0.0836645053336138,17316.4365,./data/detections/detections.latest.jsonl,
ATOM-USD,1756424373,2025-08-28 23:39:33+00:00,4.771,4.771,4.91413,4.7232899999999995,bad-data,,,,,69.64017993096559,0.0037295694863960322,2.935487651992796,0.0836645053336138,17316.4365,./data/detections/detections.latest.jsonl,
ATOM-USD,1756424397,2025-08-28 23:39:57+00:00,4.771,4.771,4.91413,4.7232899999999995,bad-data,,,,,69.64017993096559,0.0037295694863960322,2.935487651992796,0.0836645053336138,17316.4365,./data/detections/detections.latest.jsonl,
SUI-USD,1756424402,2025-08-28 23:40:02+00:00,3.4975,3.4975,3.602425,3.462525,bad-data,,,,,59.75505976847915,0.0013035020233971536,0.5226555481329015,-0.06572555295193405,15869.14038,./data/detections/detections.latest.jsonl,
ENA-USD,1756424403,2025-08-28 23:40:03+00:00,0.6816,0.6816,0.702048,0.6747839999999999,loss,12.0,-1.05,-0.014671361502349711,-1.0123239436619746,52.00073239295939,-4.158387529731161e-06,0.8430793459189185,-0.4248461763844191,13790.70518,./data/detections/detections.latest.jsonl,
FARTCOIN-USD,1756424404,2025-08-28 23:40:04+00:00,0.8504,0.8504,0.875912,0.8418960000000001,bad-data,,,,,56.80871794734728,0.0003019157583316705,0.2643083260645281,-0.11749500646222044,4509.457461999999,./data/detections/detections.latest.jsonl,
HBAR-USD,1756424405,2025-08-28 23:40:05+00:00,0.23961,0.23961,0.2467983,0.23721389999999998,bad-data,,,,,46.92069750892716,6.402695977602619e-05,0.31275044133025126,-0.6641484371757156,3786.0517170000003,./data/detections/detections.latest.jsonl,
ONDO-USD,1756424406,2025-08-28 23:40:06+00:00,0.94754,0.94754,0.9759662000000001,0.9380646,bad-data,,,,,54.07886210181864,0.00033426092744350835,4.034459892471481,-0.24346799607921632,16811.803676,./data/detections/detections.latest.jsonl,
AERO-USD,1756424407,2025-08-28 23:40:07+00:00,1.2202,1.2202,1.256806,1.207998,bad-data,,,,,50.673954616191196,0.00035409557902022713,2.020024562352149,-0.4105432746959625,5908.76655,./data/detections/detections.latest.jsonl,
ATOM-USD,1756424408,2025-08-28 23:40:08+00:00,4.78,4.78,4.9234,4.732200000000001,bad-data,,,,,70.40904592190597,0.004102345514385861,0.10050685253807609,-0.06264355815410738,595.9527199999999,./data/detections/detections.latest.jsonl,
INJ-USD,1756424409,2025-08-28 23:40:09+00:00,14.055,14.055,14.47665,13.91445,bad-data,,,,,46.971801895815226,0.005922927122275013,0.0077526892139208724,-0.7212558336868957,5.616,./data/detections/detections.latest.jsonl,
SUI-USD,1756424412,2025-08-28 23:40:12+00:00,3.4975,3.4975,3.602425,3.462525,bad-data,,,,,59.75505976847915,0.0013035020233971536,0.5226555481329015,-0.06572555295193405,15869.14038,./data/detections/detections.latest.jsonl,
TAO-USD,1756424415,2025-08-28 23:40:15+00:00,336.96,336.96,347.0688,333.5904,bad-data,,,,,55.34235024006405,0.11206541555299349,2.9395309534855993,-0.17503782597085848,4893.529584000001,./data/detections/detections.latest.jsonl,
HBAR-USD,1756424416,2025-08-28 23:40:16+00:00,0.23961,0.23961,0.2467983,0.23721389999999998,bad-data,,,,,46.92069750892716,6.402695977602619e-05,0.31275044133025126,-0.6641484371757156,3786.0517170000003,./data/detections/detections.latest.jsonl,
AERO-USD,1756424417,2025-08-28 23:40:17+00:00,1.2202,1.2202,1.256806,1.207998,bad-data,,,,,50.673954616191196,0.00035409557902022713,2.020024562352149,-0.4105432746959625,5908.76655,./data/detections/detections.latest.jsonl,
FARTCOIN-USD,1756424418,2025-08-28 23:40:18+00:00,0.8504,0.8504,0.875912,0.8418960000000001,bad-data,,,,,56.80871794734728,0.0003019157583316705,0.2643083260645281,-0.11749500646222044,4509.457461999999,./data/detections/detections.latest.jsonl,
ATOM-USD,1756424419,2025-08-28 23:40:19+00:00,4.78,4.78,4.9234,4.732200000000001,bad-data,,,,,70.40904592190597,0.004102345514385861,0.10050685253807609,-0.06264355815410738,595.9527199999999,./data/detections/detections.latest.jsonl,
ACS-USD,1756424421,2025-08-28 23:40:21+00:00,0.0010819,0.0010819,0.001114357,0.001071081,bad-data,,,,,76.21229406529802,1.9017916575215257e-07,0.10309364140300095,-0.009228497600599628,80.538722,./data/detections/detections.latest.jsonl,
ONDO-USD,1756424422,2025-08-28 23:40:22+00:00,0.94754,0.94754,0.9759662000000001,0.9380646,bad-data,,,,,54.07886210181864,0.00033426092744350835,4.034459892471481,-0.24346799607921632,16811.803676,./data/detections/detections.latest.jsonl,
ENA-USD,1756424423,2025-08-28 23:40:23+00:00,0.6816,0.6816,0.702048,0.6747839999999999,loss,12.0,-1.05,-0.014671361502349711,-1.0123239436619746,52.00073239295939,-4.158387529731161e-06,0.8430793459189185,-0.4248461763844191,13790.70518,./data/detections/detections.latest.jsonl,
SUI-USD,1756424424,2025-08-28 23:40:24+00:00,3.4975,3.4975,3.602425,3.462525,bad-data,,,,,59.75505976847915,0.0013035020233971536,0.5226555481329015,-0.06572555295193405,15869.14038,./data/detections/detections.latest.jsonl,
SPK-USD,1756424425,2025-08-28 23:40:25+00:00,0.06127,0.06127,0.0631081,0.0606573,bad-data,,,,,56.92757390394384,3.864470527976622e-05,0.6529815240662267,-0.1792406713377881,403.56862800000005,./data/detections/detections.latest.jsonl,
HBAR-USD,1756424428,2025-08-28 23:40:28+00:00,0.23961,0.23961,0.2467983,0.23721389999999998,bad-data,,,,,46.92069750892716,6.402695977602619e-05,0.31275044133025126,-0.6641484371757156,3786.0517170000003,./data/detections/detections.latest.jsonl,
AERO-USD,1756424429,2025-08-28 23:40:29+00:00,1.2202,1.2202,1.256806,1.207998,bad-data,,,,,50.673954616191196,0.00035409557902022713,2.020024562352149,-0.4105432746959625,5908.76655,./data/detections/detections.latest.jsonl,
ACS-USD,1756424433,2025-08-28 23:40:33+00:00,0.0010819,0.0010819,0.001114357,0.001071081,bad-data,,,,,76.21229406529802,1.9017916575215257e-07,0.10309364140300095,-0.009228497600599628,80.538722,./data/detections/detections.latest.jsonl,
